"V1","V2","V3"
"0.0107714220576459","0","A"
"0.221549380688803","0.1","A"
"0.347550875995586","0.2","A"
"0.447846577899093","0.3","A"
"0.600281589548723","0.4","A"
"2.03525836846958","0.5","A"
"0.0184947375536535","0","B"
"1.01332705999516","0.1","B"
"1.11982917020958","0.2","B"
"0.830402788105446","0.3","B"
"1.81744382906554","0.4","B"
"6.20339893918248","0.5","B"
"0.0398682821546673","0","C"
"0.781300571657016","0.1","C"
"1.34891252673534","0.2","C"
"1.67636809289802","0.3","C"
"2.42501644273329","0.4","C"
"8.20778786700699","0.5","C"
"0.0308423329204719","0","A"
"0.145260094719228","0.1","A"
"0.291072149676457","0.2","A"
"0.52759583511787","0.3","A"
"0.868345568203706","0.4","A"
"1.24112063262145","0.5","A"
"0.0302715860109327","0","B"
"0.498812195403499","0.1","B"
"0.936795297914853","0.2","B"
"2.17717408413871","0.3","B"
"2.41891409558584","0.4","B"
"4.10166690479806","0.5","B"
"0.0928385132705429","0","C"
"0.460073465521728","0.1","C"
"1.16864192425808","0.2","C"
"2.03253815524138","0.3","C"
"3.32267828228199","0.4","C"
"4.84467452694829","0.5","C"
"0.112620773300095","0","A"
"0.0340597533291369","0.1","A"
"0.300498775231756","0.2","A"
"0.431961679818069","0.3","A"
"0.707861877973114","0.4","A"
"1.1276963099793","0.5","A"
"0.258431204239283","0","B"
"0.0512120452003674","0.1","B"
"0.911333684684055","0.2","B"
"1.4877514172196","0.3","B"
"1.78744492902813","0.4","B"
"3.97130404514341","0.5","B"
"0.360867094152895","0","C"
"0.126615879200025","0.1","C"
"1.13361336595244","0.2","C"
"1.65458001273947","0.3","C"
"2.80767556095109","0.4","C"
"4.43346369115398","0.5","C"
"0.0461463298379363","0","A"
"0.0809053555703893","0.1","A"
"0.406139502372603","0.2","A"
"0.449986645657947","0.3","A"
"1.14314510903851","0.4","A"
"1.25874764013975","0.5","A"
"0.0424099720656619","0","B"
"0.0809878438924131","0.1","B"
"1.24722618113458","0.2","B"
"1.66519814767902","0.3","B"
"3.56934872154686","0.4","B"
"3.73020821571385","0.5","B"
"0.145354890848106","0","C"
"0.22415486975466","0.1","C"
"1.7015473711879","0.2","C"
"1.80112951722308","0.3","C"
"4.61851890288","0.4","C"
"4.97887779736714","0.5","C"
"0.0433534315006745","0","A"
"0.0294598149760218","0.1","A"
"0.31056574977587","0.2","A"
"0.583104523601586","0.3","A"
"1.36662731540327","0.4","A"
"1.28182300365235","0.5","A"
"0.153161638237062","0","B"
"0.0935848022067515","0.1","B"
"0.696116310362898","0.2","B"
"2.31931404112558","0.3","B"
"4.75379111836864","0.4","B"
"3.98856980407666","0.5","B"
"0.126345222234857","0","C"
"0.0814526598758672","0.1","C"
"1.14462538120986","0.2","C"
"2.33663845891415","0.3","C"
"5.33019442868771","0.4","C"
"4.86986830055553","0.5","C"
"0.0085426679411534","0","A"
"0.059944824697782","0.1","A"
"0.202339400905716","0.2","A"
"0.354286373710125","0.3","A"
"0.658963860111527","0.4","A"
"1.00349095939035","0.5","A"
"0.0223789697541753","0","B"
"0.0814508376397212","0.1","B"
"0.332772004589224","0.2","B"
"1.16148306238612","0.3","B"
"2.35275930450205","0.4","B"
"3.43469891708311","0.5","B"
"0.022034456942707","0","C"
"0.207592715482076","0.1","C"
"0.769541401464651","0.2","C"
"1.32504189799702","0.3","C"
"2.64960882579891","0.4","C"
"4.02677661006156","0.5","C"
"0.0490686459528546","0","A"
"0.0704900469477949","0.1","A"
"0.385585057491082","0.2","A"
"0.598033420583512","0.3","A"
"1.01146448869426","0.4","A"
"1.32454853001513","0.5","A"
"0.0514366319868755","0","B"
"0.147138330221593","0.1","B"
"1.41780163804914","0.2","B"
"1.4042451097604","0.3","B"
"3.43090906301438","0.4","B"
"4.46905160778269","0.5","B"
"0.125808390858273","0","C"
"0.260933263412432","0.1","C"
"1.5165926398651","0.2","C"
"2.26798751479215","0.3","C"
"4.06970702746248","0.4","C"
"5.33521568821199","0.5","C"
"0.0132110052252167","0","A"
"0.0705738567768548","0.1","A"
"0.191579659996515","0.2","A"
"0.431279215965594","0.3","A"
"0.700440048937367","0.4","A"
"1.35489338744549","0.5","A"
"0.0145973064598235","0","B"
"0.185325242727188","0.1","B"
"0.474344392996422","0.2","B"
"1.68292743688973","0.3","B"
"2.32826473950836","0.4","B"
"3.86668894438339","0.5","B"
"0.034299095458816","0","C"
"0.223218361946104","0.1","C"
"0.746481225320612","0.2","C"
"1.68218483329355","0.3","C"
"2.75702268506662","0.4","C"
"5.23114124538066","0.5","C"
"0.0379357872038738","0","A"
"0.100570086410937","0.1","A"
"0.147875579637084","0.2","A"
"0.670897632212646","0.3","A"
"1.00753058355347","0.4","A"
"1.18577744615964","0.5","A"
"0.088447099511691","0","B"
"0.296999376245471","0.1","B"
"0.446512642291523","0.2","B"
"1.39479272703948","0.3","B"
"2.89070618857072","0.4","B"
"3.60446964139189","0.5","B"
"0.107159491334901","0","C"
"0.378742173971022","0.1","C"
"0.498945538727291","0.2","C"
"2.61066356560376","0.3","C"
"3.95184181713371","0.4","C"
"4.57663279725736","0.5","C"
"0.0035106247631161","0","A"
"0.101902026303492","0.1","A"
"0.291078673411891","0.2","A"
"0.358039897254528","0.3","A"
